cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_meses
13079,Sin sequia,43,2013-06-30,2015-07-15,24.47688864247726
13080,D0,6,2004-08-31,2005-01-31,5.0267972648309
13080,D1,12,2022-10-31,2023-04-30,5.946734019179039
13080,D2,8,2019-10-31,2020-02-15,3.5154725969732437
13080,D3,2,2011-04-30,2011-05-31,1.0185014065997249
13080,Sin sequia,19,2009-09-30,2011-03-31,17.971621593872563
13081,D0,12,2022-07-31,2023-01-15,5.519620526088832
13081,D1,11,2019-08-15,2020-01-15,5.0267972648309
13081,D2,3,2011-04-30,2011-06-30,2.0041479291155877
13081,Sin sequia,43,2013-06-30,2015-07-15,24.47688864247726
13082,D0,21,2019-06-15,2020-04-15,10.020739645577939
13082,D1,17,2018-09-30,2019-05-31,7.983736832378488
13082,D2,4,2023-01-31,2023-03-15,1.41276001560607
13082,D3,1,2011-06-30,2011-06-30,0.0
13082,Sin sequia,23,2003-06-30,2005-06-30,24.016920265303188
13083,D0,42,2019-06-15,2021-02-28,20.501447668329945
13083,D1,17,2018-09-30,2019-05-31,7.983736832378488
13083,D2,6,2022-10-31,2023-01-15,2.496971190373519
13083,D3,3,2023-01-31,2023-02-28,0.9199367543481386
13083,Sin sequia,23,2003-06-30,2005-06-30,24.016920265303188
13084,D0,15,2018-02-28,2018-09-30,7.030945193946487
13084,D1,16,2018-10-15,2019-05-31,7.490913571120557
13084,D2,19,2022-06-15,2023-03-15,8.969383354894351
13084,Sin sequia,28,2007-02-28,2009-05-31,27.039569601018503
14001,D0,15,2019-05-31,2019-12-31,7.030945193946487
14001,D1,7,2009-07-31,2010-01-31,6.045298671430625
14001,D2,4,2006-03-31,2006-06-30,2.9897944516314503
14001,D3,2,2011-12-31,2012-01-31,1.0185014065997249
14001,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14002,D0,6,2014-06-30,2014-09-15,2.529826074457381
14002,D1,12,2020-09-30,2021-03-15,5.453910757921107
14002,D2,8,2023-01-31,2023-05-31,3.942586090063451
14002,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14002,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14003,D0,10,2017-01-15,2017-05-31,4.468264235405244
14003,D1,12,2020-09-30,2021-03-15,5.453910757921107
14003,D2,4,2011-04-30,2011-07-31,3.0226493357153124
14003,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14003,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14004,D0,11,2020-08-15,2021-01-15,5.0267972648309
14004,D1,8,2008-01-31,2008-08-31,6.998090309862626
14004,D2,11,2023-01-15,2023-06-30,5.453910757921107
14004,D3,1,2007-06-30,2007-06-30,0.0
14004,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14005,D0,4,2009-03-31,2009-06-30,2.9897944516314503
14005,D1,7,2009-07-31,2010-01-31,6.045298671430625
14005,D2,11,2020-12-31,2021-05-31,4.9610874966631755
14005,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14005,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14006,D0,16,2020-07-15,2021-02-28,7.490913571120557
14006,D1,5,2009-03-31,2009-07-31,4.008295858231175
14006,D2,5,2008-01-31,2008-05-31,3.975440974147313
14006,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14006,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14007,D0,5,2004-09-30,2005-01-31,4.041150742315037
14007,D1,7,2009-07-31,2010-01-31,6.045298671430625
14007,D2,7,2007-11-30,2008-05-31,6.012443787346763
14007,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14007,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14008,D0,8,2008-11-30,2009-06-30,6.965235425778763
14008,D1,7,2009-07-31,2010-01-31,6.045298671430625
14008,D2,11,2021-01-31,2021-06-30,4.928232612579314
14008,D3,2,2011-12-31,2012-01-31,1.0185014065997249
14008,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14009,D0,4,2009-03-31,2009-06-30,2.9897944516314503
14009,D1,6,2008-03-31,2008-08-31,5.0267972648309
14009,D2,11,2020-12-31,2021-05-31,4.9610874966631755
14009,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14009,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14010,D0,6,2008-09-30,2009-02-28,4.9610874966631755
14010,D1,6,2008-03-31,2008-08-31,5.0267972648309
14010,D2,6,2009-08-31,2010-01-31,5.0267972648309
14010,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14010,Sin sequia,19,2003-01-31,2004-09-30,19.975769522988152
14011,D0,22,2017-10-31,2018-09-15,10.480708022752006
14011,D1,5,2009-03-31,2009-07-31,4.008295858231175
14011,D2,11,2023-01-15,2023-06-30,5.453910757921107
14011,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14012,D0,14,2016-11-30,2017-06-15,6.472412164520832
14012,D1,5,2009-09-30,2010-01-31,4.041150742315037
14012,D2,8,2023-02-28,2023-06-30,4.008295858231175
14012,D3,2,2008-05-31,2008-06-30,0.9856465225158627
14012,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14013,D0,7,2012-11-30,2013-05-31,5.979588903262901
14013,D1,18,2019-06-30,2020-03-15,8.509414977720281
14013,D2,8,2011-04-30,2011-11-30,7.030945193946487
14013,D3,2,2006-03-31,2006-04-30,0.9856465225158627
14013,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14014,D0,12,2019-03-15,2019-08-31,5.552475410172693
14014,D1,15,2020-08-15,2021-03-15,6.965235425778763
14014,D2,6,2009-08-31,2010-01-31,5.0267972648309
14014,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14014,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14015,D0,6,2004-08-31,2005-01-31,5.0267972648309
14015,D1,8,2009-01-31,2009-08-31,6.965235425778763
14015,D2,5,2009-09-30,2010-01-31,4.041150742315037
14015,D3,1,2021-05-31,2021-05-31,0.0
14015,Sin sequia,17,2003-01-31,2004-07-31,17.971621593872563
14016,D0,4,2013-02-28,2013-05-31,3.0226493357153124
14016,D1,7,2008-11-30,2009-05-31,5.979588903262901
14016,D2,6,2009-08-31,2010-01-31,5.0267972648309
14016,D3,5,2021-04-30,2021-06-30,2.0041479291155877
14016,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14017,D0,12,2022-06-15,2022-11-30,5.519620526088832
14017,D1,8,2009-01-31,2009-08-31,6.965235425778763
14017,D2,11,2023-01-15,2023-06-30,5.453910757921107
14017,Sin sequia,17,2003-01-31,2004-07-31,17.971621593872563
14018,D0,7,2012-11-30,2013-05-31,5.979588903262901
14018,D1,40,2019-06-30,2021-02-15,19.581510913981806
14018,D2,6,2009-08-31,2010-01-31,5.0267972648309
14018,D3,5,2021-04-30,2021-06-30,2.0041479291155877
14018,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14019,D0,5,2012-10-31,2013-02-28,3.942586090063451
14019,D1,11,2017-12-31,2018-05-31,4.9610874966631755
14019,D2,10,2023-01-15,2023-06-15,4.9610874966631755
14019,D3,1,2006-06-30,2006-06-30,0.0
14019,D4,2,2011-12-31,2012-01-31,1.0185014065997249
14019,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14020,D0,10,2004-10-31,2005-07-31,8.969383354894351
14020,D1,10,2008-11-30,2009-08-31,9.002238238978213
14020,D2,4,2006-03-31,2006-06-30,2.9897944516314503
14020,D3,4,2008-03-31,2008-06-30,2.9897944516314503
14020,Sin sequia,15,2012-02-29,2013-04-30,13.996180619725251
14021,D0,12,2004-08-31,2005-07-31,10.973531284009939
14021,D1,8,2009-01-31,2009-08-31,6.965235425778763
14021,D2,2,2007-06-30,2007-07-31,1.0185014065997249
14021,D3,1,2021-05-31,2021-05-31,0.0
14021,Sin sequia,19,2013-09-30,2014-08-31,11.006386168093801
14022,D0,12,2004-08-31,2005-07-31,10.973531284009939
14022,D1,6,2009-03-31,2009-08-31,5.0267972648309
14022,D2,2,2011-04-30,2011-05-31,1.0185014065997249
14022,D3,2,2007-05-31,2007-06-30,0.9856465225158627
14022,Sin sequia,39,2013-08-31,2015-06-15,21.454239306761945
14023,D0,10,2015-06-30,2015-11-15,4.533974003572968
14023,D1,16,2020-08-15,2021-03-31,7.490913571120557
14023,D2,6,2009-08-31,2010-01-31,5.0267972648309
14023,D3,1,2007-06-30,2007-06-30,0.0
14023,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14024,D0,10,2016-04-30,2016-09-15,4.533974003572968
14024,D1,6,2008-03-31,2008-08-31,5.0267972648309
14024,D2,9,2023-01-15,2023-05-31,4.468264235405244
14024,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14024,Sin sequia,19,2003-01-31,2004-09-30,19.975769522988152
14025,D0,12,2016-12-15,2017-05-31,5.486765642004969
14025,D1,12,2020-11-30,2021-05-15,5.453910757921107
14025,D2,5,2022-03-15,2022-05-15,2.0041479291155877
14025,D3,2,2011-06-30,2011-07-31,1.0185014065997249
14025,D4,2,2011-11-30,2011-12-31,1.0185014065997249
14025,Sin sequia,28,2003-01-31,2005-06-30,28.945152877882503
14026,D0,16,2017-09-30,2018-05-15,7.4580586870366945
14026,D1,15,2020-07-31,2021-02-28,6.965235425778763
14026,D2,6,2009-08-31,2010-01-31,5.0267972648309
14026,D3,1,2007-06-30,2007-06-30,0.0
14026,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14027,D0,12,2004-08-31,2005-07-31,10.973531284009939
14027,D1,18,2016-06-30,2017-03-15,8.47656009363642
14027,D2,4,2021-03-31,2021-05-15,1.4784697837737941
14027,D3,1,2007-06-30,2007-06-30,0.0
14027,Sin sequia,20,2013-08-31,2014-08-31,11.992032690609664
14028,D0,7,2004-07-31,2005-01-31,6.045298671430625
14028,D1,6,2009-02-28,2009-07-31,5.0267972648309
14028,D2,8,2023-02-28,2023-06-30,4.008295858231175
14028,D3,2,2008-05-31,2008-06-30,0.9856465225158627
14028,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14029,D0,7,2012-02-29,2012-08-31,6.045298671430625
14029,D1,6,2009-08-31,2010-01-31,5.0267972648309
14029,D2,4,2006-03-31,2006-06-30,2.9897944516314503
14029,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14029,D4,2,2011-12-31,2012-01-31,1.0185014065997249
14029,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14030,D0,14,2014-11-30,2015-06-15,6.472412164520832
14030,D1,13,2020-06-15,2020-12-15,6.012443787346763
14030,D2,16,2020-12-31,2021-08-15,7.4580586870366945
14030,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14030,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14031,D0,8,2016-05-15,2016-08-31,3.5483274810571057
14031,D1,5,2008-02-29,2008-06-30,4.008295858231175
14031,D2,17,2020-10-15,2021-06-15,7.983736832378488
14031,D3,2,2011-10-31,2011-11-30,0.9856465225158627
14031,D4,2,2011-12-31,2012-01-31,1.0185014065997249
14031,Sin sequia,28,2003-01-31,2005-06-30,28.945152877882503
14032,D0,6,2008-09-30,2009-02-28,4.9610874966631755
14032,D1,8,2008-01-31,2008-08-31,6.998090309862626
14032,D2,6,2009-08-31,2010-01-31,5.0267972648309
14032,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14032,Sin sequia,18,2003-01-31,2004-08-31,18.990123000472288
14033,D0,18,2019-08-15,2020-04-30,8.509414977720281
14033,D1,9,2008-11-30,2009-07-31,7.983736832378488
14033,D2,6,2009-08-31,2010-01-31,5.0267972648309
14033,D3,8,2021-03-15,2021-06-30,3.5154725969732437
14033,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14034,D0,6,2004-08-31,2005-01-31,5.0267972648309
14034,D1,8,2009-01-31,2009-08-31,6.965235425778763
14034,D2,11,2023-01-15,2023-06-30,5.453910757921107
14034,Sin sequia,17,2003-01-31,2004-07-31,17.971621593872563
14035,D0,19,2019-04-30,2020-01-31,9.067948007145937
14035,D1,6,2008-01-31,2008-06-30,4.9610874966631755
14035,D2,7,2023-02-28,2023-06-15,3.5154725969732437
14035,D3,2,2011-09-30,2011-10-31,1.0185014065997249
14035,D4,2,2011-11-30,2011-12-31,1.0185014065997249
14035,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14036,D0,17,2020-06-30,2021-02-28,7.983736832378488
14036,D1,5,2009-09-30,2010-01-31,4.041150742315037
14036,D2,10,2007-11-30,2008-08-31,9.035093123062076
14036,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14036,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14037,D0,13,2016-04-30,2016-10-31,6.045298671430625
14037,D1,8,2009-01-31,2009-08-31,6.965235425778763
14037,D2,5,2009-09-30,2010-01-31,4.041150742315037
14037,Sin sequia,17,2003-01-31,2004-07-31,17.971621593872563
14038,D0,14,2016-11-30,2017-06-15,6.472412164520832
14038,D1,7,2011-07-31,2012-01-31,6.045298671430625
14038,D2,8,2023-02-28,2023-06-30,4.008295858231175
14038,D3,2,2008-05-31,2008-06-30,0.9856465225158627
14038,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14039,D0,4,2009-03-31,2009-06-30,2.9897944516314503
14039,D1,12,2020-06-30,2020-12-15,5.519620526088832
14039,D2,13,2020-12-31,2021-06-30,5.946734019179039
14039,D3,2,2011-12-31,2012-01-31,1.0185014065997249
14039,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14040,D0,5,2004-09-30,2005-01-31,4.041150742315037
14040,D1,17,2020-07-15,2021-03-15,7.983736832378488
14040,D2,10,2007-11-30,2008-08-31,9.035093123062076
14040,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14040,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14041,D0,12,2016-12-15,2017-05-31,5.486765642004969
14041,D1,12,2020-11-30,2021-05-15,5.453910757921107
14041,D2,5,2022-03-15,2022-05-15,2.0041479291155877
14041,D3,2,2011-06-30,2011-07-31,1.0185014065997249
14041,D4,2,2011-11-30,2011-12-31,1.0185014065997249
14041,Sin sequia,23,2003-06-30,2005-06-30,24.016920265303188
14042,D0,16,2019-02-28,2019-10-15,7.523768455204419
14042,D1,10,2017-03-31,2017-08-15,4.501119119489107
14042,D2,6,2022-03-15,2022-05-31,2.529826074457381
14042,D3,2,2011-06-30,2011-07-31,1.0185014065997249
14042,D4,1,2011-12-31,2011-12-31,0.0
14042,Sin sequia,64,2014-05-31,2017-01-15,31.540688720507607
14043,D0,12,2004-08-31,2005-07-31,10.973531284009939
14043,D1,6,2009-03-31,2009-08-31,5.0267972648309
14043,D2,4,2007-04-30,2007-07-31,3.0226493357153124
14043,D3,1,2021-05-31,2021-05-31,0.0
14043,Sin sequia,19,2013-09-30,2014-08-31,11.006386168093801
14044,D0,19,2014-06-15,2015-03-15,8.969383354894351
14044,D1,12,2020-06-30,2020-12-15,5.519620526088832
14044,D2,15,2020-12-31,2021-07-31,6.965235425778763
14044,D3,1,2007-06-30,2007-06-30,0.0
14044,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14045,D0,5,2012-02-29,2012-06-30,4.008295858231175
14045,D1,7,2009-07-31,2010-01-31,6.045298671430625
14045,D2,13,2020-12-31,2021-06-30,5.946734019179039
14045,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14045,D4,2,2011-12-31,2012-01-31,1.0185014065997249
14045,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14046,D0,17,2019-05-31,2020-01-31,8.049446600546213
14046,D1,6,2009-08-31,2010-01-31,5.0267972648309
14046,D2,4,2006-03-31,2006-06-30,2.9897944516314503
14046,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14046,D4,3,2011-11-30,2012-01-31,2.0370028131994498
14046,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14047,D0,8,2012-10-31,2013-05-31,6.965235425778763
14047,D1,38,2019-07-31,2021-02-15,18.56300950738208
14047,D2,6,2009-08-31,2010-01-31,5.0267972648309
14047,D3,2,2006-03-31,2006-04-30,0.9856465225158627
14047,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14048,D0,10,2020-05-31,2020-10-15,4.501119119489107
14048,D1,7,2008-11-30,2009-05-31,5.979588903262901
14048,D2,7,2021-01-15,2021-04-15,2.9569395675475882
14048,D3,4,2021-04-30,2021-06-15,1.5113246678576562
14048,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14049,D0,15,2019-06-30,2020-01-31,7.06380007803035
14049,D1,11,2008-11-30,2009-09-30,9.987884761494076
14049,D2,8,2023-01-31,2023-05-31,3.942586090063451
14049,D3,3,2007-05-31,2007-07-31,2.0041479291155877
14049,Sin sequia,18,2003-10-31,2005-04-30,17.971621593872563
14050,D0,11,2014-06-30,2014-11-30,5.0267972648309
14050,D1,6,2008-03-31,2008-08-31,5.0267972648309
14050,D2,15,2020-12-31,2021-07-31,6.965235425778763
14050,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14050,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14051,D0,14,2014-07-15,2015-01-31,6.5709768167724185
14051,D1,12,2020-06-30,2020-12-15,5.519620526088832
14051,D2,15,2020-12-31,2021-07-31,6.965235425778763
14051,D3,1,2007-06-30,2007-06-30,0.0
14051,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14052,D0,6,2004-08-31,2005-01-31,5.0267972648309
14052,D1,8,2008-01-31,2008-08-31,6.998090309862626
14052,D2,11,2023-01-15,2023-06-30,5.453910757921107
14052,Sin sequia,17,2003-01-31,2004-07-31,17.971621593872563
14053,D0,35,2019-06-15,2020-11-15,17.051684839524427
14053,D1,6,2008-01-31,2008-06-30,4.9610874966631755
14053,D2,7,2023-02-28,2023-06-15,3.5154725969732437
14053,D3,4,2011-09-30,2011-12-31,3.0226493357153124
14053,Sin sequia,64,2013-07-31,2016-06-15,34.497628288055196
14054,D0,6,2004-08-31,2005-01-31,5.0267972648309
14054,D1,8,2009-01-31,2009-08-31,6.965235425778763
14054,D2,5,2009-09-30,2010-01-31,4.041150742315037
14054,Sin sequia,17,2003-01-31,2004-07-31,17.971621593872563
14055,D0,5,2004-09-30,2005-01-31,4.041150742315037
14055,D1,7,2009-07-31,2010-01-31,6.045298671430625
14055,D2,10,2007-11-30,2008-08-31,9.035093123062076
14055,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14055,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14056,D0,15,2019-06-30,2020-01-31,7.06380007803035
14056,D1,10,2008-10-31,2009-07-31,8.969383354894351
14056,D2,6,2009-08-31,2010-01-31,5.0267972648309
14056,D3,3,2007-05-31,2007-07-31,2.0041479291155877
14056,Sin sequia,18,2003-10-31,2005-04-30,17.971621593872563
14057,D0,18,2019-07-31,2020-04-15,8.509414977720281
14057,D1,17,2020-06-15,2021-02-15,8.049446600546213
14057,D2,12,2021-02-28,2021-08-15,5.519620526088832
14057,D3,1,2007-06-30,2007-06-30,0.0
14057,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14058,D0,15,2016-11-30,2017-06-30,6.965235425778763
14058,D1,5,2009-09-30,2010-01-31,4.041150742315037
14058,D2,8,2023-02-28,2023-06-30,4.008295858231175
14058,D3,3,2008-04-30,2008-06-30,2.0041479291155877
14058,Sin sequia,17,2003-01-31,2004-07-31,17.971621593872563
14059,D0,17,2019-09-30,2020-05-31,8.01659171646235
14059,D1,18,2020-06-15,2021-02-28,8.47656009363642
14059,D2,6,2009-08-31,2010-01-31,5.0267972648309
14059,D3,1,2007-06-30,2007-06-30,0.0
14059,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14060,D0,14,2017-01-31,2017-08-15,6.43955728043697
14060,D1,6,2009-08-31,2010-01-31,5.0267972648309
14060,D2,4,2006-03-31,2006-06-30,2.9897944516314503
14060,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14060,D4,3,2011-11-30,2012-01-31,2.0370028131994498
14060,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14061,D0,13,2017-09-30,2018-03-31,5.979588903262901
14061,D1,4,2009-08-31,2009-11-30,2.9897944516314503
14061,D2,10,2023-01-15,2023-06-15,4.9610874966631755
14061,D3,2,2011-06-30,2011-07-31,1.0185014065997249
14061,D4,2,2011-12-31,2012-01-31,1.0185014065997249
14061,Sin sequia,33,2014-10-31,2016-02-29,15.967473664756977
14062,D0,14,2016-11-30,2017-06-15,6.472412164520832
14062,D1,5,2009-09-30,2010-01-31,4.041150742315037
14062,D2,8,2023-02-28,2023-06-30,4.008295858231175
14062,D3,2,2008-05-31,2008-06-30,0.9856465225158627
14062,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14063,D0,8,2012-10-31,2013-05-31,6.965235425778763
14063,D1,17,2020-06-15,2021-02-15,8.049446600546213
14063,D2,6,2009-08-31,2010-01-31,5.0267972648309
14063,D3,2,2008-05-31,2008-06-30,0.9856465225158627
14063,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14064,D0,19,2019-04-30,2020-01-31,9.067948007145937
14064,D1,8,2022-02-28,2022-06-15,3.5154725969732437
14064,D2,8,2023-02-28,2023-06-30,4.008295858231175
14064,D3,4,2011-09-30,2011-12-31,3.0226493357153124
14064,Sin sequia,64,2013-07-31,2016-06-15,34.497628288055196
14065,D0,9,2017-12-15,2018-04-15,3.975440974147313
14065,D1,11,2009-03-31,2010-01-31,10.0535945296618
14065,D2,6,2023-02-28,2023-05-31,3.0226493357153124
14065,D3,2,2007-06-30,2007-07-31,1.0185014065997249
14065,Sin sequia,42,2013-09-30,2015-08-15,22.47274071336167
14066,D0,26,2014-07-15,2015-07-31,12.517710835951457
14066,D1,41,2019-04-15,2020-12-15,20.041479291155877
14066,D2,12,2020-12-31,2021-06-15,5.453910757921107
14066,D3,2,2007-05-31,2007-06-30,0.9856465225158627
14066,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14067,D0,5,2008-10-31,2009-02-28,3.942586090063451
14067,D1,3,2007-05-31,2007-07-31,2.0041479291155877
14067,D2,3,2006-03-31,2006-05-31,2.0041479291155877
14067,D3,4,2008-03-31,2008-06-30,2.9897944516314503
14067,Sin sequia,54,2014-04-30,2016-07-15,26.513891455676706
14068,D0,12,2004-08-31,2005-07-31,10.973531284009939
14068,D1,8,2009-01-31,2009-08-31,6.965235425778763
14068,D2,6,2023-03-15,2023-06-15,3.0226493357153124
14068,D3,1,2021-05-31,2021-05-31,0.0
14068,Sin sequia,19,2013-09-30,2014-08-31,11.006386168093801
14069,D0,16,2017-09-30,2018-05-15,7.4580586870366945
14069,D1,11,2008-09-30,2009-07-31,9.987884761494076
14069,D2,6,2009-08-31,2010-01-31,5.0267972648309
14069,D3,6,2021-05-15,2021-07-31,2.529826074457381
14069,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14070,D0,13,2019-06-30,2019-12-31,6.045298671430625
14070,D1,12,2020-06-30,2020-12-15,5.519620526088832
14070,D2,14,2020-12-31,2021-07-15,6.43955728043697
14070,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14070,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14071,D0,10,2017-01-31,2017-06-15,4.435409351321383
14071,D1,11,2022-11-30,2023-05-15,5.453910757921107
14071,D2,13,2020-12-31,2021-06-30,5.946734019179039
14071,D3,2,2011-12-31,2012-01-31,1.0185014065997249
14071,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14072,D0,28,2019-02-28,2020-04-15,13.536212242551182
14072,D1,6,2009-08-31,2010-01-31,5.0267972648309
14072,D2,12,2020-12-31,2021-06-15,5.453910757921107
14072,D3,4,2011-10-31,2012-01-31,3.0226493357153124
14072,Sin sequia,74,2014-04-30,2017-05-15,36.501776217170786
14073,D0,19,2019-04-30,2020-01-31,9.067948007145937
14073,D1,6,2009-08-31,2010-01-31,5.0267972648309
14073,D2,4,2006-03-31,2006-06-30,2.9897944516314503
14073,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14073,D4,2,2011-11-30,2011-12-31,1.0185014065997249
14073,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14074,D0,24,2019-04-30,2020-04-15,11.532064313435594
14074,D1,6,2009-08-31,2010-01-31,5.0267972648309
14074,D2,10,2021-01-31,2021-06-15,4.435409351321383
14074,D3,4,2011-10-31,2012-01-31,3.0226493357153124
14074,Sin sequia,86,2013-07-31,2017-05-15,45.47115957206513
14075,D0,15,2020-08-15,2021-03-15,6.965235425778763
14075,D1,5,2009-09-30,2010-01-31,4.041150742315037
14075,D2,10,2007-11-30,2008-08-31,9.035093123062076
14075,Sin sequia,16,2003-01-31,2004-06-30,16.95312018727284
14076,D0,6,2012-10-31,2013-03-31,4.9610874966631755
14076,D1,9,2017-12-31,2018-04-30,3.942586090063451
14076,D2,17,2020-10-15,2021-06-15,7.983736832378488
14076,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14076,D4,2,2011-12-31,2012-01-31,1.0185014065997249
14076,Sin sequia,28,2003-01-31,2005-06-30,28.945152877882503
14077,D0,10,2016-04-30,2016-09-15,4.533974003572968
14077,D1,12,2020-09-30,2021-03-15,5.453910757921107
14077,D2,9,2023-01-15,2023-05-31,4.468264235405244
14077,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14077,Sin sequia,18,2003-01-31,2004-08-31,18.990123000472288
14078,D0,19,2019-04-30,2020-01-31,9.067948007145937
14078,D1,6,2009-08-31,2010-01-31,5.0267972648309
14078,D2,4,2006-03-31,2006-06-30,2.9897944516314503
14078,D3,2,2011-10-31,2011-11-30,0.9856465225158627
14078,D4,2,2011-12-31,2012-01-31,1.0185014065997249
14078,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14079,D0,14,2019-07-15,2020-01-31,6.5709768167724185
14079,D1,10,2007-11-30,2008-08-31,9.035093123062076
14079,D2,11,2023-01-15,2023-06-30,5.453910757921107
14079,D3,1,2007-06-30,2007-06-30,0.0
14079,Sin sequia,26,2003-01-31,2005-04-30,26.941004948766913
14080,D0,10,2011-08-31,2012-05-31,9.002238238978213
14080,D1,3,2007-05-31,2007-07-31,2.0041479291155877
14080,D2,8,2023-02-28,2023-06-30,4.008295858231175
14080,D3,3,2008-04-30,2008-06-30,2.0041479291155877
14080,Sin sequia,14,2003-01-31,2004-04-30,14.948972258157252
14081,D0,12,2016-12-15,2017-05-31,5.486765642004969
14081,D1,12,2020-11-30,2021-05-15,5.453910757921107
14081,D2,2,2011-04-30,2011-05-31,1.0185014065997249
14081,D3,2,2011-06-30,2011-07-31,1.0185014065997249
14081,D4,2,2011-11-30,2011-12-31,1.0185014065997249
14081,Sin sequia,28,2003-01-31,2005-06-30,28.945152877882503
14082,D0,13,2019-02-28,2019-08-31,6.045298671430625
14082,D1,8,2008-01-31,2008-08-31,6.998090309862626
14082,D2,11,2023-01-15,2023-06-30,5.453910757921107
14082,D3,1,2007-06-30,2007-06-30,0.0
14082,Sin sequia,19,2003-01-31,2004-09-30,19.975769522988152
14083,D0,9,2016-05-15,2016-09-15,4.041150742315037
14083,D1,12,2020-09-30,2021-03-15,5.453910757921107
14083,D2,5,2011-04-30,2011-08-31,4.041150742315037
14083,D3,2,2023-06-15,2023-06-30,0.49282326125793136
14083,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
14084,D0,12,2004-08-31,2005-07-31,10.973531284009939
14084,D1,8,2009-01-31,2009-08-31,6.965235425778763
14084,D2,7,2023-02-28,2023-06-15,3.5154725969732437
14084,D3,3,2008-04-30,2008-06-30,2.0041479291155877
