cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_meses
2006,D3,23,2016-01-15,2016-12-15,11.006386168093801
2006,Sin sequia,15,2004-10-31,2005-12-31,13.996180619725251
2007,D0,11,2011-02-28,2011-12-31,10.0535945296618
2007,D1,10,2008-01-31,2008-10-31,9.002238238978213
2007,D2,26,2021-04-15,2022-04-30,12.484855951867594
2007,D3,23,2016-01-15,2016-12-15,11.006386168093801
2007,Sin sequia,15,2004-10-31,2005-12-31,13.996180619725251
3001,D0,12,2022-12-31,2023-06-30,5.946734019179039
3001,D1,21,2021-09-30,2022-07-31,9.987884761494076
3001,D2,16,2021-01-15,2021-08-31,7.490913571120557
3001,Sin sequia,30,2003-01-31,2005-08-31,30.982155691081953
3002,D0,11,2023-01-15,2023-06-30,5.453910757921107
3002,D1,17,2021-07-31,2022-03-31,7.983736832378488
3002,D2,7,2008-12-31,2009-06-30,5.946734019179039
3002,D3,6,2022-05-15,2022-07-31,2.529826074457381
3002,Sin sequia,30,2012-05-31,2014-06-15,24.47688864247726
3003,D0,18,2018-12-31,2019-09-15,8.47656009363642
3003,D1,9,2010-11-30,2011-07-31,7.983736832378488
3003,D2,8,2011-11-30,2012-06-30,6.998090309862626
3003,D3,1,2011-10-31,2011-10-31,0.0
3003,Sin sequia,77,2014-05-15,2017-07-15,38.01310088502844
3008,D0,16,2018-12-31,2019-08-15,7.4580586870366945
3008,D1,11,2023-01-15,2023-06-30,5.453910757921107
3008,D2,5,2003-01-31,2003-05-31,3.942586090063451
3008,D3,8,2011-10-31,2012-05-31,6.998090309862626
3008,Sin sequia,81,2014-03-15,2017-07-15,40.017248814144025
3009,D0,12,2022-12-31,2023-06-30,5.946734019179039
3009,D1,19,2021-09-15,2022-06-15,8.969383354894351
3009,D2,16,2021-01-15,2021-08-31,7.490913571120557
3009,Sin sequia,30,2003-01-31,2005-08-31,30.982155691081953
4001,D0,7,2012-11-30,2013-05-31,5.979588903262901
4001,D1,10,2016-08-15,2016-12-31,4.533974003572968
4001,D2,4,2009-05-31,2009-08-31,3.0226493357153124
4001,D3,6,2009-09-30,2010-02-28,4.9610874966631755
4001,Sin sequia,40,2013-06-30,2015-05-31,22.998418858703463
4002,D0,12,2022-08-31,2023-02-15,5.519620526088832
4002,D1,15,2016-10-31,2017-05-31,6.965235425778763
4002,D2,10,2009-09-30,2010-06-30,8.969383354894351
4002,D3,1,2011-05-31,2011-05-31,0.0
4002,Sin sequia,19,2013-05-31,2014-06-30,12.977679213125526
4003,D0,10,2015-07-31,2015-12-15,4.501119119489107
4003,D1,5,2011-04-30,2011-08-31,4.041150742315037
4003,D2,5,2009-04-30,2009-08-31,4.041150742315037
4003,D3,6,2009-09-30,2010-02-28,4.9610874966631755
4003,Sin sequia,19,2011-09-30,2013-03-31,18.004476477956427
4004,D0,6,2003-03-31,2003-09-30,6.012443787346763
4004,D1,8,2004-10-31,2005-05-31,6.965235425778763
4004,D2,7,2009-11-30,2010-05-31,5.979588903262901
4004,D3,2,2009-09-30,2009-10-31,1.0185014065997249
4004,Sin sequia,23,2013-05-31,2014-08-31,15.014682026324977
4005,D0,20,2018-07-31,2019-05-15,9.462206616152283
4005,D1,5,2009-01-31,2009-05-31,3.942586090063451
4005,D2,3,2009-06-30,2009-08-31,2.0370028131994498
4005,D3,3,2009-12-31,2010-02-28,1.9384381609478634
4005,Sin sequia,40,2013-06-30,2015-05-31,22.998418858703463
4006,D0,19,2019-06-15,2020-03-15,9.002238238978213
4006,D1,15,2018-10-31,2019-05-31,6.965235425778763
4006,D2,10,2009-09-30,2010-06-30,8.969383354894351
4006,D3,1,2011-05-31,2011-05-31,0.0
4006,Sin sequia,18,2013-06-30,2014-06-30,11.992032690609664
4007,D0,7,2004-06-30,2004-12-31,6.045298671430625
4007,D1,5,2011-04-30,2011-08-31,4.041150742315037
4007,D2,5,2009-04-30,2009-08-31,4.041150742315037
4007,D3,4,2009-11-30,2010-02-28,2.9569395675475882
4007,D4,1,2009-10-31,2009-10-31,0.0
4007,Sin sequia,19,2011-09-30,2013-03-31,18.004476477956427
4008,D0,11,2018-12-15,2019-05-15,4.9610874966631755
4008,D1,6,2009-01-31,2009-06-30,4.928232612579314
4008,D2,5,2009-07-31,2009-11-30,4.008295858231175
4008,D3,3,2009-12-31,2010-02-28,1.9384381609478634
4008,Sin sequia,41,2013-06-30,2015-06-15,23.491242119961395
4009,D0,9,2003-01-31,2003-10-31,8.969383354894351
4009,D1,6,2009-01-31,2009-06-30,4.928232612579314
4009,D2,7,2009-11-30,2010-05-31,5.979588903262901
4009,D3,2,2009-09-30,2009-10-31,1.0185014065997249
4009,Sin sequia,38,2012-05-31,2014-10-15,28.485184500708435
4010,D0,8,2008-02-29,2008-09-30,7.030945193946487
4010,D1,8,2009-01-31,2009-08-31,6.965235425778763
4010,D2,9,2009-09-30,2010-05-31,7.983736832378488
4010,D3,1,2008-01-31,2008-01-31,0.0
4010,Sin sequia,64,2011-08-31,2015-06-30,45.963982833323065
4011,D0,7,2008-02-29,2008-08-31,6.045298671430625
4011,D1,13,2019-10-15,2020-04-15,6.012443787346763
4011,D2,6,2009-11-30,2010-04-30,4.9610874966631755
4011,D3,1,2009-10-31,2009-10-31,0.0
4011,Sin sequia,44,2011-08-31,2014-08-31,36.008952955912854
4012,D0,6,2003-03-31,2003-09-30,6.012443787346763
4012,D1,8,2004-10-31,2005-05-31,6.965235425778763
4012,D2,7,2009-11-30,2010-05-31,5.979588903262901
4012,D3,2,2009-09-30,2009-10-31,1.0185014065997249
4012,Sin sequia,23,2013-05-31,2014-08-31,15.014682026324977
4013,D0,7,2012-11-30,2013-05-31,5.979588903262901
4013,D1,10,2016-08-15,2016-12-31,4.533974003572968
4013,D2,4,2009-05-31,2009-08-31,3.0226493357153124
4013,D3,6,2009-09-30,2010-02-28,4.9610874966631755
4013,Sin sequia,40,2013-06-30,2015-05-31,22.998418858703463
5001,D0,7,2008-12-31,2009-06-30,5.946734019179039
5001,D1,8,2012-06-30,2013-01-31,7.06380007803035
5001,D2,8,2022-04-30,2022-08-15,3.5154725969732437
5001,D3,5,2011-12-31,2012-04-30,3.975440974147313
5001,D4,2,2011-10-31,2011-11-30,0.9856465225158627
5001,Sin sequia,67,2014-07-31,2017-04-30,32.98630362019754
5002,D0,8,2009-01-31,2009-08-31,6.965235425778763
5002,D1,7,2013-02-28,2013-08-31,6.045298671430625
5002,D2,4,2008-04-30,2008-07-31,3.0226493357153124
5002,D3,8,2021-12-31,2022-04-15,3.4497628288055195
5002,D4,7,2011-08-31,2012-02-29,5.979588903262901
5002,Sin sequia,19,2003-07-31,2005-03-31,20.008624407072013
5003,D0,4,2013-06-30,2013-09-30,3.0226493357153124
5003,D1,11,2020-05-31,2020-10-31,5.0267972648309
5003,D2,14,2019-10-31,2020-05-15,6.472412164520832
5003,D3,11,2022-03-15,2022-08-15,5.0267972648309
5003,D4,2,2006-07-31,2006-08-31,1.0185014065997249
