system:index,01,02,03,04,05,06,07,08,09,10,11,12,CVEGEO,CVE_ENT,NOMGEO,date_year,.geo
31,-0.758474620703272,-0.7302215794714171,-0.9929177649938182,-0.7076639295410934,-0.9019803007442919,-0.7893880566407637,-0.333579132508092,0.412520417074262,-0.5458394464454001,0.3449414248039038,-0.7985035224370314,0.5343907813718755,32,32,Zacatecas,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.282034604861024,-0.9984510120438242,0.023577381724385872,-0.7829637036221481,-0.050486820553083255,-0.09319480842806702,-0.07566722300297517,-0.39282766832627136,-0.36272242081795203,-0.228409554125751,-0.6293743475840331,-1.0,01,01,Aguascalientes,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-0.4113019567279919,-0.9760404451278464,-0.830842010228234,-0.9976058340322512,-0.848795103701116,-0.3347922132297544,-0.6447123111248494,1.4271976522251846,-0.8517776168697516,-0.7588015364498256,-0.23076873483454674,0.6493416121898418,02,02,Baja California,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.704906313956243,-0.8227223865209913,-0.9892351284955252,-0.5121285836238749,-0.24110464016234434,-0.20576469302474998,-0.4452060960114727,0.23944914175545193,-0.4170211452425878,-0.7251217194427169,-0.19432541881670704,0.1116505843526916,03,03,Baja California Sur,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-0.2850306889846805,0.6916238851346973,0.6978589355763063,0.47869949040310433,-0.07022751100717128,-0.15294341298311748,0.30000969085825663,0.10794978134901355,-0.33503871172229577,-0.17868478935339285,0.7349096230383011,0.07183231150214704,04,04,Campeche,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1.218100334400743,-0.484280825609822,-0.6207512448935444,-0.018985122611257194,-0.42022272031477353,0.482798225265957,0.2814170430652242,-0.3606303965814186,-0.437442009405038,-0.14954658657538372,-0.34386285695598284,-0.82412961999818,05,05,Coahuila de Zaragoza,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,1.571792621606518,-0.9995936390743172,-0.8687138388194561,0.22745461637401584,-0.964875378412215,0.3313097930758577,0.16696143962543164,-0.37728602328042193,-0.49510427583975425,-0.40903460353530435,-0.8789919255726221,-0.9714981143163157,06,06,Colima,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1.4258029820550264,-0.12865004340056235,1.2446333708464106,0.1649303502437229,-0.13746015587714852,0.11393951556656627,0.31537638161528886,-0.38220971136183063,-0.30078596089002485,0.22489132190690603,1.631965478140534,-0.042688542594812334,07,07,Chiapas,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1.8729283360195237,-0.4740592838756139,-0.8555718953067832,-0.34811575667091355,-0.7656999452774073,0.7518358871688282,-0.1462559343032421,-0.15383730417902858,-0.020709276539174926,-0.29488664350699734,0.5568593006862019,-0.6192041459650357,08,08,Chihuahua,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,-0.4024154850395487,-0.9980021698487761,-0.536311312731865,-0.7066243445862105,-0.5944253207957222,0.4665885559774857,0.001620838722157927,-0.2417849966299169,-0.10764609573563177,-0.5359230378575643,0.6784807022076675,-0.5822259138267792,09,09,Ciudad de M�xico,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
