system:index,01,02,03,04,05,06,07,08,09,10,11,12,COUNTRY_NA,OBJECTID,Shape_Area,Shape_Le_1,Shape_Leng,date_year,.geo
0,0.6232504765602883,-1.7971488609111248,-0.49315897330612884,-0.39755284364358334,-0.37776337836871204,0.45151307470935503,0.21147693197213638,0.4959147092818526,-0.2150107239273199,1.0418767081532347,1.1535779173038965,-0.6598017915426455,Mexico,155,174.063486147,225.134598272,225.134598272,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5286661850905079,-0.16346636398699305,0.3040743340646736,-0.05664342470730828,0.10848199316593908,0.1726412270105636,-0.1267615434064678,-0.18252177091872296,0.041859857031521286,-0.20837409993746345,-0.5580837764066239,0.4213915660876178,Mexico,155,174.063486147,225.134598272,225.134598272,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-1.2872453021603505,1.4691368053831966,-1.0503969980778451,0.15718983102019782,-0.06425860699985331,-0.527059464193942,0.18259156684945566,0.3791628797137933,0.834318292909819,1.2534280708809762,0.15097481133331533,0.7449334238825971,Mexico,155,174.063486147,225.134598272,225.134598272,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.29823194260931396,-0.30291178408105673,0.5734111185286033,0.7973031034319827,0.513546671338927,0.23002417077675083,0.4339373371520273,0.32206402492215425,0.4529487665370252,0.24366342277193073,0.3170533722215652,-0.6043347097572227,Mexico,155,174.063486147,225.134598272,225.134598272,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.7608941722422446,-1.3483577584912534,-0.278195196793054,0.6765415613561264,0.03161496258548643,-0.4418722283051954,0.15633535241536578,0.2920573397850668,0.3132427388069761,-0.5238877467826735,0.016165010566989137,-0.08817592096223323,Mexico,155,174.063486147,225.134598272,225.134598272,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.7462274242257885,-0.5993041190520614,-1.0679771044686586,0.30380623666439593,-0.19377461043220304,-0.5637015842519937,-0.08516032901425562,-0.13918551259331532,0.16256032023223224,-0.8319742188469647,1.3776258801295012,1.5575733462438932,Mexico,155,174.063486147,225.134598272,225.134598272,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.4251590619351301,-0.7957775977020004,-0.25538567498503634,0.406265891224168,0.5185380486000595,-0.14053211700521384,0.2884470299746321,0.15494266170208623,-0.10086693141093347,-0.6188566430102587,-0.08477413730931435,-1.0400642589006495,Mexico,155,174.063486147,225.134598272,225.134598272,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-1.0507444027859263,-0.26404026746914294,0.9259439526799907,0.5055376370765553,-0.15929170903417603,0.07760038396163205,-0.015701418108478003,-0.4436211139656613,-0.30154099062914674,-0.3616631114615568,0.5884391108932051,0.097245079478983,Mexico,155,174.063486147,225.134598272,225.134598272,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.49185005657306297,0.2920578713764811,-0.80377989190705,-0.014644636031292126,0.2084943639178045,-0.2322220595487284,-0.45732751097889857,-0.7153008272553867,-0.5560522175658699,0.13374321079492443,-0.3611001343680457,-0.1168034844688802,Mexico,155,174.063486147,225.134598272,225.134598272,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.206599174516161,1.0741030341307232,-1.0786421210233879,0.33229844590848295,-0.06537391579158795,-0.06571063192482464,0.768809895709209,0.6845814099181896,0.4343835201547771,0.30990045138698985,0.005886927336135324,0.13605842890172676,Mexico,155,174.063486147,225.134598272,225.134598272,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.7653329005461739,0.4197041849667825,-0.5287693820512673,-0.2566285884148987,-1.1025967215250714,-0.13335229464467205,0.15700706741328244,0.4987428290927197,-0.0959282658413112,-0.92492845144825,-1.586195341412,0.4659908582191805,Mexico,155,174.063486147,225.134598272,225.134598272,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.41087472708488026,-0.5300724957628589,-0.2680697031272647,-1.1542532553418954,-0.21975934145698972,-0.3880633673403088,-0.2394791263814963,-0.6864009584925823,-0.37058677869143747,0.48139206350063696,0.048640738885715074,0.6962283492600706,Mexico,155,174.063486147,225.134598272,225.134598272,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.9754709384648313,-0.07912217076939018,1.439670650093133,0.3893332514356413,-0.025428941960366564,-0.0015684361394598491,-0.14029396405148273,-0.4853463215661308,0.20083654577612686,1.1305088951354412,0.07415051287548804,0.3780199174714431,Mexico,155,174.063486147,225.134598272,225.134598272,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-0.24959390720837296,0.3090156557650392,0.5716989767276236,-0.7181501024477669,0.37941312920953646,-0.30906017677429726,-0.060841270221442756,-0.3089790325735495,0.17884729756796575,0.1718328536226372,0.7717160616191051,-1.3070774983837699,Mexico,155,174.063486147,225.134598272,225.134598272,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.8955473224764526,-0.6109342851519959,0.9092272551079693,-0.11413349816711169,0.4182130120846193,0.13346860528076518,-0.5256966255672811,-0.5060390868013519,-0.44202813682701375,-0.529243147408357,-0.34131736492731607,-0.46415992406552686,Mexico,155,174.063486147,225.134598272,225.134598272,1974.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
