system:index,01,02,03,04,05,06,07,08,09,10,11,12,COUNTRY_NA,OBJECTID,Shape_Area,Shape_Le_1,Shape_Leng,date_year,.geo
26,0.26384930443969995,0.08032660193800852,-0.24281037613738243,-0.19022187438533095,0.5366386534297658,1.3733668106777108,0.8592603041788253,0.13652463392006475,-0.08130202026392548,0.2271988402880027,0.38593230345748003,0.6346099518765533,Mexico,155,174.063486147,225.134598272,225.134598272,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.35363709301653573,0.45561029407794446,0.27648687984122067,0.38015548755360223,0.5357192987564329,0.4561102970913827,0.5774233911545649,0.3645962004219973,0.01742695288226473,-0.8447418700365849,-1.2418799621449572,-1.3792760413719316,Mexico,155,174.063486147,225.134598272,225.134598272,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,-1.496138322851661,-1.7419997623688541,-1.7396134498132918,-1.6297369996156146,-2.0852471367834173,-1.5759625478128938,-0.6741137125303402,0.7255735434349571,0.937630430812901,0.4750166811429056,-0.20826683496524642,-0.6821392145163546,Mexico,155,174.063486147,225.134598272,225.134598272,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,-0.8341773747440901,-0.7616900352947976,-1.0151269718160563,-1.1261139547012144,-1.3837550014272808,-1.9853573699272873,-2.154945461460368,-1.4653033922002765,-1.6908833687392895,-1.8128581007839508,-1.4805832905386043,-0.8655172160086704,Mexico,155,174.063486147,225.134598272,225.134598272,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,-0.9264971020505945,-0.6492992127568243,-0.38716556331771157,-0.23743030680012353,-0.07458121580579254,-0.2561708691609698,1.1265874825054218,1.243734047463462,1.349265906434851,1.6530885345085446,1.6317219855694753,1.5887005994707537,Mexico,155,174.063486147,225.134598272,225.134598272,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,1.2603761150798547,1.3215980995926562,1.008485768704275,0.42865524291718854,-0.020226922873114395,-0.2457887217252402,0.32142839682803886,-0.09286649497111632,0.2667557861736138,0.1225813242895795,0.3150364039018801,1.373030292961803,Mexico,155,174.063486147,225.134598272,225.134598272,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2.6014292319809944,3.1484950031320693,3.3958268702906116,3.442809071749054,3.82066057897311,2.873451322363342,2.295559156027475,1.6794600849727266,0.4522077843298483,-0.08555064169410831,-0.1349950227389291,0.040107257666912345,Mexico,155,174.063486147,225.134598272,225.134598272,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.460056608419639,0.5382683420758263,0.3102082626447255,0.018812241103567006,-0.25253074861717184,0.6856483608499414,0.22542951281779683,-0.18559425358421205,0.0989790000910301,-0.29378323538875445,-0.19390181145220878,-0.7226650098234189,Mexico,155,174.063486147,225.134598272,225.134598272,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-0.8779302714607146,-1.0532099510312276,-0.8859227524230201,-0.9141396331886186,-1.072808183763078,-1.145977181774447,-2.1862114582200864,-2.5223689516278878,-2.8390288404061845,-2.6359632851269263,-2.439382056093319,-1.5430197322297776,Mexico,155,174.063486147,225.134598272,225.134598272,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-1.5778819128180204,-1.4279514246245484,-1.372092127388139,-1.3405576360021514,-1.329406040323876,-1.5061249881908532,-1.9958989736541732,-1.3543744003942493,-1.2706449141807827,-1.5526595707626718,-1.4943764385744291,-1.470239094424947,Mexico,155,174.063486147,225.134598272,225.134598272,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,-1.836731333098991,-2.014372715216822,-2.07544670781065,-1.9827236106346464,-2.0731860810765284,-1.5753964878805402,-1.8154945956524968,-1.0027641034202668,-1.0877508403775429,-0.8324465879775634,-0.8673452202130755,-1.3457826608003836,Mexico,155,174.063486147,225.134598272,225.134598272,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,-1.3416539558267642,-1.3187869399612642,-0.5172775145128434,0.6359341933138768,0.9405111045989529,0.6154206533087614,-0.3919383614080115,-1.598353695176066,-1.850752137017056,-1.819646041128508,-1.0464439144706341,-0.7503349010257678,Mexico,155,174.063486147,225.134598272,225.134598272,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,-1.2158628883157825,-1.0659460466935782,-1.1186790588648186,-1.5182361957319965,-2.1913230524988814,-2.636962067384719,-2.832818847812983,-2.5795021455290446,-1.4959596122542178,-0.5424358390034982,0.22872715373380753,-0.20019542109201674,Mexico,155,174.063486147,225.134598272,225.134598272,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,-0.7457502275928725,-1.1592380415217283,-1.3545282618651238,-1.6581980056829615,-2.1358179826039008,-1.1564048246949805,-0.06881940252047261,0.009831274841785476,-0.29114660863333147,-0.41528233922346247,-0.7533344968336618,-1.0901800349449022,Mexico,155,174.063486147,225.134598272,225.134598272,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,-1.5530977599351117,-1.8822393088095712,-1.7743757544847876,-1.975911020363589,-1.3189518944078453,0.11535135674783044,-0.7530636466377868,-1.211614000763764,-1.7342687026709167,-0.8827946976476307,-0.5484884467509373,-0.9274775978246275,Mexico,155,174.063486147,225.134598272,225.134598272,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,-1.2346140309764302,-1.2150787501478337,-0.7074104787664923,-0.43815797821918007,-0.21458409696603165,-0.7363196512269795,-1.13523053234621,-1.4442874176890939,-1.581900107568014,-1.869874151766005,-1.8866032772278123,-2.062424830169262,Mexico,155,174.063486147,225.134598272,225.134598272,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,-2.2587358790078644,-1.8173598013416177,-1.949411999104899,-2.0794671818159722,-2.0818997056457893,-2.0182722188448343,-1.8156619064514492,-2.5248096234822204,-2.0815781228438803,-1.3450023571350398,-0.721948453295977,-0.7013881357249365,Mexico,155,174.063486147,225.134598272,225.134598272,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,-0.8822251706956387,-0.613875269712531,-0.6463151052398415,-0.9296747916794366,-1.3363145870849662,-0.7560873914369614,-0.8718485613336087,-0.951352459744573,-0.08709370181189441,0.7613243807599249,0.8969570858187343,0.41390533247892547,Mexico,155,174.063486147,225.134598272,225.134598272,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
