date_year,nombre_estado,anomaly_tmmx_mean
1992-06-30,Tlaxcala,-0.4559973952489686
1992-06-30,Veracruz,-0.1843981298655508
1992-06-30,Yucatán,-0.3052006409980302
1992-06-30,Zacatecas,-0.3734039665640373
1993-06-30,Aguascalientes,0.5202112329488754
1993-06-30,Baja California,0.5848593643668356
1993-06-30,Baja California Sur,1.051575090959456
1993-06-30,Campeche,-0.2079348547142852
1993-06-30,Coahuila,0.2692535887204641
1993-06-30,Colima,0.6290016790672225
1993-06-30,Chiapas,0.2662280361445016
1993-06-30,Chihuahua,0.4670283703393472
1993-06-30,Ciudad de México,0.5437004520832974
1993-06-30,Durango,0.3512801800221967
1993-06-30,Guanajuato,0.4778217856170849
1993-06-30,Guerrero,0.2986404806436564
1993-06-30,Hidalgo,0.5557476458798963
1993-06-30,Jalisco,0.6951076702994293
1993-06-30,Estado de México,0.5618786751764213
1993-06-30,Michoacán,0.6768570931617318
1993-06-30,Morelos,0.4365616236222536
1993-06-30,Nayarit,0.7991270400538599
1993-06-30,Nuevo León,0.1801105470633437
1993-06-30,Oaxaca,0.4824153713775855
1993-06-30,Puebla,0.5161233635657789
1993-06-30,Querétaro,0.5397387406741064
1993-06-30,Quintana Roo,-0.1357318433528535
1993-06-30,San Luis Potosí,0.5441581793597555
1993-06-30,Sinaloa,0.6271610237478034
1993-06-30,Sonora,0.5691399639881628
1993-06-30,Tabasco,0.1562155711151317
1993-06-30,Tamaulipas,0.3242543667739946
1993-06-30,Tlaxcala,0.5387718730887865
1993-06-30,Veracruz,0.5053387887985885
1993-06-30,Yucatán,-0.2567088362528336
1993-06-30,Zacatecas,0.4889672636756119
1994-06-30,Aguascalientes,0.9454203287309166
1994-06-30,Baja California,0.5872209554677414
1994-06-30,Baja California Sur,1.3634389147981
1994-06-30,Campeche,0.1267414295842668
1994-06-30,Coahuila,0.8477293599319848
1994-06-30,Colima,1.0872829940901108
1994-06-30,Chiapas,0.7572533365150319
1994-06-30,Chihuahua,1.3388362873184474
1994-06-30,Ciudad de México,0.8468846332938432
1994-06-30,Durango,1.0283921177924449
1994-06-30,Guanajuato,0.7332045538918108
1994-06-30,Guerrero,0.7973333307490345
1994-06-30,Hidalgo,0.9569187983337012
1994-06-30,Jalisco,1.149254453115783
1994-06-30,Estado de México,0.8420947088090834
1994-06-30,Michoacán,0.9573914836227846
1994-06-30,Morelos,0.6821988929107168
1994-06-30,Nayarit,1.3052988040808482
1994-06-30,Nuevo León,0.5719406110718727
1994-06-30,Oaxaca,0.8976992220155642
1994-06-30,Puebla,0.9477449514283888
1994-06-30,Querétaro,0.8529962248866569
1994-06-30,Quintana Roo,0.0804455687464863
1994-06-30,San Luis Potosí,0.8609580478806581
1994-06-30,Sinaloa,1.1377890132250206
1994-06-30,Sonora,1.0704211939538142
1994-06-30,Tabasco,0.6336653682978
1994-06-30,Tamaulipas,0.6560839962826169
1994-06-30,Tlaxcala,0.9716511349586636
1994-06-30,Veracruz,0.9030388597043336
1994-06-30,Yucatán,-0.0116767973953647
1994-06-30,Zacatecas,1.0119474058073694
1995-06-30,Aguascalientes,0.8881328208753844
1995-06-30,Baja California,0.7419750024178531
1995-06-30,Baja California Sur,1.1170277876540018
1995-06-30,Campeche,-0.0552656350394291
1995-06-30,Coahuila,1.0177609486730244
1995-06-30,Colima,0.8338595033070695
1995-06-30,Chiapas,0.2283344288726589
1995-06-30,Chihuahua,1.311923289906326
1995-06-30,Ciudad de México,0.6699143576232336
1995-06-30,Durango,1.2235764869984875
1995-06-30,Guanajuato,0.6701430183604205
1995-06-30,Guerrero,0.6038218294224507
1995-06-30,Hidalgo,0.8227878133492833
1995-06-30,Jalisco,0.9473300947491314
1995-06-30,Estado de México,0.6830652329787221
1995-06-30,Michoacán,0.8755951666647888
1995-06-30,Morelos,0.5226947460814376
1995-06-30,Nayarit,1.0393183436538231
1995-06-30,Nuevo León,0.7010680745813417
1995-06-30,Oaxaca,0.6123824892009948
1995-06-30,Puebla,0.7339930633462639
1995-06-30,Querétaro,0.8204518723398554
1995-06-30,Quintana Roo,0.1113335601556657
1995-06-30,San Luis Potosí,0.8997286337658921
1995-06-30,Sinaloa,1.2716275576329223
1995-06-30,Sonora,1.2277947273435232
1995-06-30,Tabasco,0.2296289744234105
1995-06-30,Tamaulipas,0.7189714276226815
1995-06-30,Tlaxcala,0.7307253043642785
1995-06-30,Veracruz,0.7682229768171788
1995-06-30,Yucatán,-0.1775030652826226
1995-06-30,Zacatecas,1.0990478096730587
1996-06-30,Aguascalientes,0.8303372449262513
1996-06-30,Baja California,1.750950538965479
1996-06-30,Baja California Sur,1.6303916541163546
1996-06-30,Campeche,-0.2822453214835615
1996-06-30,Coahuila,1.2972628757988378
1996-06-30,Colima,0.6537529057847419
1996-06-30,Chiapas,0.028472719362841
1996-06-30,Chihuahua,1.4420297917329998
1996-06-30,Ciudad de México,0.7315711220742791
