date_year,nombre_estado,anomaly_pr_mean,anomaly_tmmx_mean,pdsi_mean
1960-06-30,Nacional,-0.2205882648920136,0.0810661811025907,-0.6192175453461826
1961-06-30,Nacional,-0.0676169166742816,0.0319426644611434,-0.6537528510910813
1962-06-30,Nacional,-0.2389998962809002,0.5399005830455538,-1.937521576121459
1963-06-30,Nacional,-0.1511613179658037,0.2089823784360018,-1.8145967654090924
1964-06-30,Nacional,-0.183254381197608,-0.0775394584652817,-1.475785678609
1965-06-30,Nacional,-0.0140763007546492,0.0130128980187996,-1.5964614073503858
1966-06-30,Nacional,0.1164534053573454,-0.5259489281473392,0.9366616831113068
1967-06-30,Nacional,0.1396836895428539,-0.0806642545526847,0.3501612719530617
1968-06-30,Nacional,0.3706563086827689,-0.6533791031910606,2.0660034449993585
1969-06-30,Nacional,-0.1625272772658253,0.1307139094957216,-0.4882967827383175
1970-06-30,Nacional,-0.1681193792218194,-0.0436019522476187,-0.4240818721613875
1971-06-30,Nacional,-0.1772494551396014,0.0630856582076202,-0.8982355683236604
1972-06-30,Nacional,0.1332227147005228,0.2774936278495865,0.7960713021216239
1973-06-30,Nacional,0.0221533306209249,-0.1642137544797481,1.0118005700434098
1974-06-30,Nacional,-0.0576936682342124,-0.0417293412618309,-0.4302403496329586
1975-06-30,Nacional,-0.2845353821524389,-0.0928084532440485,-1.1430392825313576
1976-06-30,Nacional,0.1959540160754773,-0.8134046107082317,-0.2472262053747293
1977-06-30,Nacional,-0.1751528214867748,0.2043719933939695,0.4740475783512937
1978-06-30,Nacional,0.135439207597547,-0.2349789723634839,0.2650293127006987
1979-06-30,Nacional,-0.0532190953073162,-0.2171285435851064,0.5537131166874589
1980-06-30,Nacional,-0.0665308400381671,0.2096927062122697,-1.0527397098969389
1981-06-30,Nacional,0.3753640308147589,-0.1420309734053232,2.0655865904819897
1982-06-30,Nacional,0.008491008517522,0.472944684338934,-0.8572513959264458
1983-06-30,Nacional,0.4634774786818036,0.0237659079546143,1.0535021243697638
1984-06-30,Nacional,0.2459567705121833,-0.2283495379029106,2.5494595704378664
1985-06-30,Nacional,0.09624037118666,-0.0676804541846596,2.154789156495247
1986-06-30,Nacional,0.0771841300358035,0.2681453417042205,0.3319477611182838
1987-06-30,Nacional,-0.0623293864002485,-0.0034260626068839,-0.0040609982297904
1988-06-30,Nacional,-0.185311006550367,0.2057470348157042,-0.8079164438222431
1989-06-30,Nacional,-0.1119110727641453,0.6560188313095179,-1.381359294803483
1990-06-30,Nacional,0.0899911701075818,0.2869814091263458,0.5051628571717052
1991-06-30,Nacional,-0.0191984196888915,0.306754205520782,0.5049221075732881
1992-06-30,Nacional,0.3636743051423153,-0.0756585168223824,1.9607883914210893
1993-06-30,Nacional,-0.0937593231936281,0.4369246465778103,0.0574106057613942
1994-06-30,Nacional,-0.076889053829709,0.9193100389258082,-1.6763301914454372
1995-06-30,Nacional,-0.1972182916443499,0.8898287200395452,-1.4743506267782482
1996-06-30,Nacional,-0.2662756774882615,1.0403602256820244,-1.5424534120133
1997-06-30,Nacional,0.3522546467500286,0.5010592591953374,-0.7036101257754395
1998-06-30,Nacional,-0.2431878751318776,1.169945058461877,-1.4307661684539732
1999-06-30,Nacional,-0.3369652039485785,0.6394620710047516,-0.9015724126063028
2000-06-30,Nacional,-0.0868640522194277,0.6838680220343144,-1.2039109561290633
2001-06-30,Nacional,-0.0478279546356439,0.2973229963328176,-1.210540441922446
2002-06-30,Nacional,-0.0851392533427903,0.6111308886272585,-1.7829612820578526
2003-06-30,Nacional,-0.0532117037286547,0.6304669751736233,-0.4168833533068227
2004-06-30,Nacional,0.2740151756018801,0.3110295513232805,1.578952543471198
2005-06-30,Nacional,-0.0493933939861595,0.8699117231143707,-0.0829023431153696
2006-06-30,Nacional,-0.1172739546208319,1.1929477064524232,-0.9405727245558972
2007-06-30,Nacional,-0.0930905255269361,0.5745318949826348,0.7242607538138462
2008-06-30,Nacional,-0.2608847444115759,0.7213594053614522,-0.1528431633260931
2009-06-30,Nacional,-0.1363242716046474,1.2687685217537186,-1.4807899383520868
2010-06-30,Nacional,-0.045747655099454,0.4376204381009864,0.3293027155202708
2011-06-30,Nacional,-0.3435626389315158,1.6898762130035645,-2.443709037881118
2012-06-30,Nacional,-0.1171947696746972,1.428776209217839,-1.766560794137826
2013-06-30,Nacional,0.0866967511012439,0.6884107628841667,-0.4988979559468692
2014-06-30,Nacional,0.0428080763849189,1.0587764686214076,2.2325035967540443
2015-06-30,Nacional,0.413002131377827,0.9574761425360564,2.12043335563669
2016-06-30,Nacional,-0.0350415256849791,1.55186914360741,-0.05813844843116
2017-06-30,Nacional,-0.262939390495954,1.472923376328709,-1.875625832299304
2018-06-30,Nacional,0.0611074541610467,1.0392143644075262,-0.1906543466997207
2019-06-30,Nacional,-0.1001986828816298,1.4924803410646292,-1.120517446060562
2020-06-30,Nacional,-0.1792711326750748,1.5753009688282893,-1.5495037211268603
2021-06-30,Nacional,-0.2446408952853773,1.236098214670783,-1.7884192998835329
2022-06-30,Nacional,-0.2805264207444319,1.0203427087339068,-1.4249360186357465
1960-06-30,Aguascalientes,-0.5558898256331293,0.4416453989686154,-3.921504311300873
1960-06-30,Baja California,-0.2716628312043431,0.2468324991479708,-1.341990206225428
1960-06-30,Baja California Sur,-0.164508888774298,-0.1431297537273794,3.5849562595860047
1960-06-30,Campeche,-0.1474024997388864,-0.0377717330563215,-2.6387323249209547
1960-06-30,Coahuila,0.053464215881612,-0.0796260539157417,-0.6235066297692178
