date_year,nombre_estado,anomaly_pr_mean
1992-06-30,Tamaulipas,0.3028915394657885
1992-06-30,Tlaxcala,0.4342281030613851
1992-06-30,Veracruz,0.1866727648409607
1992-06-30,Yucatán,-0.0308635407091545
1992-06-30,Zacatecas,0.1330587277388419
1993-06-30,Aguascalientes,-0.4075362773055379
1993-06-30,Baja California,0.0186185021420044
1993-06-30,Baja California Sur,0.3648794618536071
1993-06-30,Campeche,-0.0188202583508838
1993-06-30,Coahuila,-0.2766746187386488
1993-06-30,Colima,-0.2137405299788331
1993-06-30,Chiapas,-0.1984329234021488
1993-06-30,Chihuahua,-0.03742280358573
1993-06-30,Ciudad de México,-0.2358756304577212
1993-06-30,Durango,-0.1973358640382745
1993-06-30,Guanajuato,-0.3928770337710598
1993-06-30,Guerrero,-0.2941580966295422
1993-06-30,Hidalgo,-0.0712472954185559
1993-06-30,Jalisco,-0.4096021879703921
1993-06-30,Estado de México,-0.2321146952621659
1993-06-30,Michoacán,-0.3983463786185317
1993-06-30,Morelos,-0.3213253004285143
1993-06-30,Nayarit,-0.3918474753618944
1993-06-30,Nuevo León,-0.1187748036818572
1993-06-30,Oaxaca,-0.0484440277546587
1993-06-30,Puebla,-0.200043283555608
1993-06-30,Querétaro,-0.1842114417412545
1993-06-30,Quintana Roo,0.0669010792047475
1993-06-30,San Luis Potosí,-0.1255900124070157
1993-06-30,Sinaloa,-0.1381045787648177
1993-06-30,Sonora,0.246296319845556
1993-06-30,Tabasco,-0.1811797460483529
1993-06-30,Tamaulipas,-0.0531765694382373
1993-06-30,Tlaxcala,-0.1818844581032878
1993-06-30,Veracruz,-0.0434645126586733
1993-06-30,Yucatán,-0.0529247929544767
1993-06-30,Zacatecas,-0.1578090784703945
1994-06-30,Aguascalientes,-0.1411274594161089
1994-06-30,Baja California,-0.0028014032724253
1994-06-30,Baja California Sur,-0.0047313289891314
1994-06-30,Campeche,0.0755717377203192
1994-06-30,Coahuila,0.0447651703566625
1994-06-30,Colima,-0.3995780809375935
1994-06-30,Chiapas,-0.1142718289391599
1994-06-30,Chihuahua,-0.1361563297925614
1994-06-30,Ciudad de México,-0.222212540950602
1994-06-30,Durango,0.107912225371888
1994-06-30,Guanajuato,-0.28411384475393
1994-06-30,Guerrero,-0.4056573250944563
1994-06-30,Hidalgo,-0.0650791211536283
1994-06-30,Jalisco,-0.3650506474279809
1994-06-30,Estado de México,-0.2071521534378038
1994-06-30,Michoacán,-0.3885138264664995
1994-06-30,Morelos,-0.3152374632872421
1994-06-30,Nayarit,-0.3205988856940251
1994-06-30,Nuevo León,-0.0095469474004786
1994-06-30,Oaxaca,-0.1193937265864072
1994-06-30,Puebla,-0.19989848320168
1994-06-30,Querétaro,-0.1321148609550546
1994-06-30,Quintana Roo,-0.0286428046228784
1994-06-30,San Luis Potosí,-0.0288673040595559
1994-06-30,Sinaloa,-0.0618065771307201
1994-06-30,Sonora,-0.0023273690226894
1994-06-30,Tabasco,-0.1161636161232745
1994-06-30,Tamaulipas,-0.0120448159767291
1994-06-30,Tlaxcala,-0.1774548316442418
1994-06-30,Veracruz,-0.131692035227265
1994-06-30,Yucatán,0.0018712439935108
1994-06-30,Zacatecas,0.1529035062975527
1995-06-30,Aguascalientes,-0.2991108218374942
1995-06-30,Baja California,-0.2381234773967341
1995-06-30,Baja California Sur,-0.3812710180621744
1995-06-30,Campeche,0.095946459653609
1995-06-30,Coahuila,-0.3519103870542386
1995-06-30,Colima,-0.3891265008648553
1995-06-30,Chiapas,0.3910180802788982
1995-06-30,Chihuahua,-0.4053178471572268
1995-06-30,Ciudad de México,0.2759446596285451
1995-06-30,Durango,-0.6375303467460811
1995-06-30,Guanajuato,-0.0704488366455744
1995-06-30,Guerrero,0.5301153251097429
1995-06-30,Hidalgo,-0.0591756941822676
1995-06-30,Jalisco,-0.3820161616849011
1995-06-30,Estado de México,0.2826148296224993
1995-06-30,Michoacán,0.03819934261239
1995-06-30,Morelos,0.465459661085804
1995-06-30,Nayarit,-0.5554360794355614
1995-06-30,Nuevo León,-0.1754860753301022
1995-06-30,Oaxaca,0.3533051347348537
1995-06-30,Puebla,0.0444201773602634
1995-06-30,Querétaro,-0.1507403168522804
1995-06-30,Quintana Roo,0.0342450478089486
1995-06-30,San Luis Potosí,-0.1742091627635503
1995-06-30,Sinaloa,-0.6137511377530216
1995-06-30,Sonora,-0.3994845460082028
1995-06-30,Tabasco,0.3319062074941856
1995-06-30,Tamaulipas,-0.1079466788621766
1995-06-30,Tlaxcala,0.1218314146313022
1995-06-30,Veracruz,0.1406966083471658
1995-06-30,Yucatán,0.01914137569484
1995-06-30,Zacatecas,-0.4912540921953611
1996-06-30,Aguascalientes,-0.3707322586249333
1996-06-30,Baja California,-0.5446173390797251
1996-06-30,Baja California Sur,-0.3128560464375143
1996-06-30,Campeche,0.0094521360325026
1996-06-30,Coahuila,-0.2126816117687926
1996-06-30,Colima,-0.2258143738131934
1996-06-30,Chiapas,0.1260064906156731
1996-06-30,Chihuahua,-0.3182493137043677
1996-06-30,Ciudad de México,-0.0715978950724195
1996-06-30,Durango,-0.2207360054483176
1996-06-30,Guanajuato,-0.5048419916441538
1996-06-30,Guerrero,-0.0917051578666746
1996-06-30,Hidalgo,-0.3033254701564431
1996-06-30,Jalisco,-0.3234774563455805
1996-06-30,Estado de México,-0.1547973333423317
1996-06-30,Michoacán,-0.3346368164787627
1996-06-30,Morelos,-0.0432231343997446
1996-06-30,Nayarit,-0.3273153580641565
1996-06-30,Nuevo León,-0.4333279874210526
1996-06-30,Oaxaca,-0.0076061675185713
1996-06-30,Puebla,-0.1330193265427303
1996-06-30,Querétaro,-0.465558996498491
1996-06-30,Quintana Roo,-0.0505299082418434
1996-06-30,San Luis Potosí,-0.3965403166013115
1996-06-30,Sinaloa,-0.3587198693936402
1996-06-30,Sonora,-0.5405803470153121
1996-06-30,Tabasco,0.1755554210298231
1996-06-30,Tamaulipas,-0.4160156709954369
1996-06-30,Tlaxcala,-0.0499572620389731
1996-06-30,Veracruz,-0.1029169965549236
1996-06-30,Yucatán,-0.0791371701357314
1996-06-30,Zacatecas,-0.1439491721634101
1997-06-30,Aguascalientes,0.5615347430403341
1997-06-30,Baja California,-0.0059872434237915
1997-06-30,Baja California Sur,0.373646942690195
1997-06-30,Campeche,0.1378366671162758
1997-06-30,Coahuila,0.4127978932462686
1997-06-30,Colima,0.4754741971283935
1997-06-30,Chiapas,0.182502022673819
1997-06-30,Chihuahua,0.3264735691633101
1997-06-30,Ciudad de México,0.4903029567333561
1997-06-30,Durango,0.8258359789097703
1997-06-30,Guanajuato,0.3912999142431855
1997-06-30,Guerrero,0.563315004070393
1997-06-30,Hidalgo,0.1533262661493179
1997-06-30,Jalisco,0.7137287541232817
1997-06-30,Estado de México,0.4966913952267288
1997-06-30,Michoacán,0.5233601575198124
1997-06-30,Morelos,0.7004188871012931
